other_health_impacts,other_socio_economical_impacts,other_environmental_impacts,slug
,,,shutangshan-village-chemical-factory-pollution-in-hunan-province
see description Welzow-Sued ,,,lignite-mining-nochten-ii-germany
,,,katigan-peatland-conservation-excluding-traditional-owners-indonesia
,"Pescadores, pobladores y ambientalistas han advertido que la pesca artesanal será dramáticamente afectada. Los progresivos daños ambientales también afectarán al turismo en la zona. Voceros de la comunidad señalan que la salina está siendo gestionada con negligencia y que esto se encuentra vinculado a la intención de imponer el proyecto del puerto. Todos estos factores unidos tendrán un notable impacto social en la región, creando un número importante de población laboralmente desocupada, presionando a la migración de centenares de trabajadores hacia el puerto de aguas profundas y provocando en general dependencia social a esta infraestructura. 
Cálculos de la comunidad indican que la migración podría superar las 25.000 personas lo cual generará un muy gran impacto demográfico en la región. También se señala un incremento del costo de la vida y un impacto a las viviendas de los habitantes debido a las nuevas construcciones, como ya ha ocurrido con pescadores quienes les han derrumbado sus rancherías y la empresa que construye el astillero se niega a indemnizarlos."," Los ecosistemas de la zona son frágiles y representan un espacio de biodiversidad marina sumamente importante para el país, dado que es un centro de desove de la mayoría de las especies marinas que circulan en el mar Caribe, especialmente de la sardina. Los impactos aumentan cuando la intervención ambiental se produce en sistemas semi-cerrados como lo es el Golfo de Cariaco, e incluyen la depredación de los recursos acuáticos vivos y el desgaste de la cantidad y calidad alimentaria de las aguas. En la fase de construcción del puerto, actividades como los dragados pueden causar alteraciones definitivas y traumáticas de los fondos marinos. Inaugurada la instalación, se produciría la invasión de especies exógenas, como resultado del vertido de aguas de lastre; acumulación de desechos de buques, muchas veces con sustancias desconocidas; alteraciones continuas en los niveles de calidad de agua, aire y suelos; y una urbanización acelerada.  Se ha denunciado también que la rehabilitación camaronera podría traer de vuelta las consecuencias pasadas, dado que esta industria vertía sus desechos químicos al golfo alejando la pesca por años. Otro de los impactos señalados es la deforestación y destrucción de las plantas autóctonas, y la amenaza de desaparición de especies. Se reforzaría la desertización, influyendo al mismo tiempo en el período de lluvias; y se produciría una alteración de los paisajes, con ruido, polvo, contaminación del aire y tráfico. Voceros de las comunidades han denunciado que la cantera ha sido permisada en un área que posee la vegetación más copiosa del municipio y que está cerca de las montañas que colindan con el Golfo de Cariaco. Otro potencial impacto ambiental señalado es que, la situación de escasez o insuficiencia del agua en la zona, se vería agravado dado que buena parte de ella sería conducida hasta el astillero, sumado al crecimiento de la población por la migración laboral.  ",el-proyecto-del-puerto-de-aguas-profundas-en-la-peninsula-de-araya
,Migración,,minera-noche-buena-melchor-ocampo-zacatecas-mexico
,,,lof-en-resistencia-cushamen-vs-benetton-y-la-represion-del-estado-nacional
Potential increases of water-borne diseases,"Potential loss of a man and biosphere reserve park, and related revenue losses from tourism, etc.",,dong-nai-dams-6-and-6a-cancelled-due-to-environmental-concerns-vietnam
,,,illegal-timber-trade-in-oleshky-forest-ukraine
"Se produjeron numerosas enfermedades en la población de El Hornito. Investigadores de la Universidad del Zulia señalan que en la primera década de funcionamiento del complejo, la mortalidad por cáncer en la población de “El Hornito” se incrementó en 400%. Se registraron casos de malformaciones congénitas, desde hidrocefalia hasta anencefalia y problemas de piel. Los padecimientos de cáncer eran principalmente de pulmón e hígado, siendo la principal causa de muerte en la comunidad. El promedio de vida de los habitantes de El Hornito no llegaba a los 50 a 55 años.
La comunidad ha señalado que las enfermedades se produjeron a raíz de las emanaciones de benceno y amoniaco que salían del complejo, demostrándose que había mercurio en la sangre y diferentes partes del cuerpo de los habitantes de El Hornito. En los 10 años posteriores a la reubicación, murieron todos los pacientes crónicos, y de los casos de malformación congénita apenas quedaban dos niños.","Desde los inicios de la petroquímica, los peligros de accidentes provocaban desalojos en la comunidad, sobre todo por fugas de gases. Hay una inseguridad latente por este tipo de siniestros (recuérdese el caso de Amuay de 2012 http://ejatlas.org/conflict/venezuela-refinery-explosion-venezuela). La afectación de las tierras ha perjudicado medios de vida de las comunidades. El desarrollo de la petroquímica volvió dependientes de la industria a los habitantes de El Hornito. La reubicación de los pobladores mantuvo o profundizo la inseguridad alimentaria. Las nuevas tierras donde fueron alejados perpetuaban el desempleo, la falta de oportunidades y la pérdida de hogares.","Existen estudios que evidencian cómo las emisiones de hidrocarburos, gases tóxicos, metales como el plomo, vanadio o mercurio, han producido severos procesos de contaminación de zonas costeras, fuentes de agua marina y lacustre, fenómenos de  eutrofización, acidificación de los cuerpos de agua, siendo los precursores inmediatos de los ácidos los gases Dióxido de Azufre (SO2) y de  Nitrógeno (NO2).
Se ha señalado que la planta petroquímica deja una piscina de lodos mercuriales que se encontraba al lado de la comunidad, dejándola en condiciones de mucha exposición. Desde el complejo petroquímico también se arroja considerables cantidades de compuestos nitrogenados, mercurio y fenol, lo que potencia aún más la ya avanzada contaminación del lago de Maracaibo. Se denunció que había mercurio, arsénico y plomo hasta en las paredes de las casas.
La quema de gas excedente emite tóxicos que son venteados hacia las comunidades. Por su parte, las tierras han dejado de ser productivas en relación a tiempos anteriores y las nuevas áreas de reubicación son un desierto.",el-complejo-petroquimico-el-tablazo-y-las-luchas-de-la-comunidad-de-el-hornito-contra-pdvsa
,,,proyecto-minero-santa-ana-cancelado-por-rechazo-de-la-comunidad
,,,extraccion-de-jade-en-guatemala
Respiratory diseases,,,tanjung-kasam-coal-fired-power-plant-indonesia
,,,totalenergies-oil-exploration-in-republic-of-congo
,,,glencore-in-zambia
,,,sugar-cane-factory-la-troncal-ecuador
,"La apertura de nuevas minas en la zona media de la Sierra de Perijá podría mermar sensiblemente los medios de vida de los indígenas de la zona, profundamente vinculados a la tierra y el agua. A su vez, su cultura puede seguir siendo lesionada gravemente.
Una política de cooptación por parte del Estado ha generado la fragmentación y divisiones entre las comunidades yukpa. Tratos preferenciales y diferenciados hacia algunos indígenas de la misma etnia, rompen su unidad ante una eventual exigencia de demarcación de tierras. 
Uno de los elementos más preocupantes es la imposición de una política de violencia contra los yukpa, ejecutada desde diversos grupos de actores que pasan desde agresiones, discriminaciones y criminalización por parte del Ejército y la Guardia Nacional (Sabino Romero sería encarcelado entre 2009 y 2011), hasta el asesinato de yukpas por parte de criminales a sueldo presuntamente vinculados a los sectores poderosos de la zona. Hasta la fecha van al menos 10 yukpas asesinados. Está en peligro la sobrevivencia como pueblo de los yukpa.","Se han señalado diversos impactos que La Mina Norte ha dejado en las aguas del río Guasare, en peces, biodiversidad de la zona y al aire (véase el conflicto https://ejatlas.org/conflict/indigenas-wayuu-del-socuy-defienden-sus-territorios-ante-el-avance-de-proyectos-vinculados-a-la-extraccion-de-carbon-carbozulia). Se estima que por cada tonelada de carbón extraído se generan unas 6 toneladas de escombros y desechos y se destruyen además 5 toneladas de vegetación primaria. Se calcula que están en riesgo 500.000 hectáreas de bosques naturales, y se prevé una destrucción de 7.220.000 toneladas de vegetación primaria. La destrucción del ecosistema circundante y biológicamente rico de la Sierra de Perijá tendría severas consecuencias en el Zulia.",indigenas-yukpa-de-los-rios-yaza-y-tukuko-luchan-por-frenar-la-expansion-de-carbozulia-en-la-sierra-de-perija
,Specific impacts on men,,insuficiencia-renal
,,,stara-zagora-landfill-site-bulgaria
,,,green-resources-as-niassa-project
excessive blood lead levels,,,c-lead-poisoning-by-a-metal-smelting-company-in-longnan-gansu-china
"Coal ash contains natural metals that can become toxic to humans upon exposure (i.e., arsenic, lead, and radioactive metals) [7]. These metals are especially dangerous when they contaminate groundwater or break down into particles that come into contact with skin and/or are ingested [7]. Ultra-fine coal ash particles are associated with air pollutants, such as smog and exhaust, and are part of the ambient air pollutants that cause approximately 4.2 millions deaths worldwide each year [7][9]. The coal ash from the Kingston Fossil Plant contains over 20 known toxins [7]. Because cleanup workers were misinformed about the toxicity of the coal ash, workers often inhaled, ate near (consumed), and came into direct skin contact with coal ash [7] Additionally, cleanup workers brought ash dust into their homes due to the lack of decontamination facilities [10]_x000D_
 _x000D_
Water bodies contaminated by the coal ash spill were frequently used as drinking water sources [13]. Contaminants found in the rivers, specifically lead and thallium, have historically caused birth defects and reproductive issues [13]. A few months after the spill, a TVA spokesperson shared that even though the aforementioned contaminants exceeded the limits of safe drinking water in the river, they would be filtered out, allowing for the water to be safely consumed again [13]. Despite reassurance, many residents still felt uncomfortable drinking the water due to the severity of the coal ash spill [13]. In 2018, USATNT published evidence of groundwater test well pollution at the Kingston Plant’s coal ash landfill [2]. _x000D_
_x000D_
Cleanup workers continuously reported health issues following the spill [7]. This included, but was not limited to, skin, cardiovascular, circulatory system, and pulmonary issues [7]. Ansol Clark, one of the first cleanup workers to arrive at the site, developed chronic heart issues and blood cancer after working at the spill site [7]. It is believed that Clark’s issues may have been caused by coal ash radiation [7]. Frankie Norris reported skin sores (which was common amongst cleanup workers) and colon failure [7]. Tommy Johnson, also amongst the first workers to arrive at the site, reported that he suffers from chronic lung function issues [7]. Because cleanup workers inadvertently brought coal ash dust into their homes, this affected the health of the cleanup worker’s family members, many of whom also developed cancers and breathing issues following the spill [10]. These are but a few of the side effects that hundreds of cleanup workers and family members have experienced. By July of 2022, over 50 cleanup workers had died of health-related issues since the spill [14] Currently, more than 200 cleanup workers and their family members are sick or suffer from chronic health issues as a result of the coal ash [24]. ","Eight years after the coal ash spill in 2018, the Roane County population had declined by over 1,500 residents [14]. The population began increasing in 2009, but as of 2021, the county’s population has yet to exceed the 54,374 residents that resided in Roane County in 2008 [14]. It is likely that in the years following the coal ash spill, residents who could afford to leave the county did while fewer people moved into the county. In 2019, Roane County and the cities of Kingston and Harriman sued both Jacobs Engineering and the TVA for damages suffered by the community as a whole [22]. These claims were dismissed in 2020 by the same federal district court judge presiding over the property owners’ and cleanup workers’ suits as barred by the statute of limitations and for being insufficiently pleaded [22]. ","Interest in the Kingston Fossil Plant spill has been primarily focused on the human health and property damage impacts of the coal ash. However, the environmental impacts of spilling 300 acres of toxic ash should not be overlooked. Toxins contaminated the area’s natural resources, including water bodies (Emory and Clinch Rivers) that lead into the Tennessee River [11]. For four years, the Emory River was dredged in an attempt to remove contaminants [15]. Near the end of the project, cleanup workers were ordered to stop dredging because of the shockingly high level of contaminants found in the river [15]. TVA then opted to have the Emory River “recover naturally” from the remaining contaminants, with environmental monitoring for the following 30 years [15] [32]._x000D_
_x000D_
Scientists found that downstream river water had lead levels 400 times greater than the EPA recommends, and even greater levels of lead within the river’s surface water [12][13]. Beryllium was found at levels 160 times greater than the EPA’s safe limit [13]. High levels of arsenic were found, indicating low-oxygen conditions in the water [12]. River water tests also revealed higher levels of lead and thallium after the spill [13]. These contaminants may continue to spread into other critical environmental resources, causing even greater harm upon humans and wildlife [12]. ",kingston-fossil-plant-harriman-tn
,,,lhaka-honhat-our-land-association-v-argentina
"Respiratory infections, heart disease, stroke and cancer.",,,jugohrom-jegunovce-air-pollution-macedonia
"By the end of the fighting, 84 people were killed, 400 were wounded and as many tortured",,,privatisation-of-natural-gas-pacific-lng-bolivia
Gambling addiction,,,barcelona-world-complex-catalonia-spain
,,,protests-at-eskoms-megawatt-park-johannesburg-south-africa
,,,repsol-ypf-itika-guasu
,,,public-interest-litigation-against-antai-coking-in-shandong-china
,,,proyecto-mande-norte-murindo-colombia
,Loss of sacred values of land (emphasized in Isidro Baldenegro Goldman Prize's acceptance speech).,Deforestation leading to floods.,tarahumaras-fight-against-deforestation-and-murder-of-isidro-baldenegro-chihuahua-mexico
,,,glencore-xstrata-tampakan-copper-gold-project-south-cotabato
,,,three-gorges-dam-on-the-yangtze-river-in-hubei-china
,,Risk of nuclear accident,kalpakkams-fast-breeder-reactor-india
,,,karchana-power-plant-uttar-pradesh-india
,,"Aumento de tráfico,",construccion-de-una-nueva-variente-a-la-carretera-cv311-atravesando-huertos-productivos-protegidos
,,,explotacion-petrolera-en-casanare-colombia
,"Potential negative impacts on fish stocks [24]_x000D_
Potential failure of former prior and informed consent (FPIC) with indigenous communities [19]",Read more from Stop Barossa Gas [28],santos-barossa-offshore-gas-scraping-the-bottom-of-the-barrel-in-timor-sea-nt-australia
"Inundaciones. imposibilidad de lograr la recarga del manto acuífero de la zona, por la filtración de aguas residuales. sin posibilidad de abastecimiento de agua a los canales de Xochimilco. Existencia de plagas (roedores, zancudos, vectores de transmisión de enfermedades).","Violación al derecho humano a un ambiente sano, saneamiento del agua. (Protocolo de San Salvador Art. 11 puntos 1 y 2. Y Asamblea General de las naciones Unidas 64/292. El derecho humano al agua y el saneamiento)",,contaminacion-de-la-presa-de-san-lucas-xochimilco-cdmx
,,Water sovereignty,uranium-project
,,,acheloos-river-diversion
,,,coal-mining-pollution-santa-catarina-brazil
Health problems related to dust from open-pit mine,,,gloucester-resources-rocky-hill-open-cut-coal-mine-nsw-australia
Sickness observed and water pollution blamed.,,,unity-state-oil-pollution-south-sudan
,,,biofuel-company-likely-to-lose-its-licence-in-nacala-mozambique
,Rising tensions over territorial control between armed groups,,asian-highway-infrastructure-project-karen-state-myanmar
,,,sagarmala
,,,oposicion-a-la-extraccion-de-litio-en-tres-quebradas-y-defensa-del-agua2
Exposure to potentially contaminated water bodies,,,puerto-galera-waste-dump-facility-may-relocate-indigenous-iraya-mangyan-families-philippines
,,,demarcation-of-indios-land-in-the-serra-do-padeiro-brazil
"""In its Social Impact Assessment, Lydian International recognises the consequences of the inflow of construction workers, and later, miners, for the social fabric of Jermuk. The company cites the “four m’s” (“men, money, mobility and mixing”) as having the largest impact. That is, the influx of single men with disposable income could lead to the development of the sex trade and adjacent “vice” industries in Jermuk, as well as an increase in sexually-transmitted diseases and HIV."" [1]",,"As for the dust, Lydian claim that the dust produced during the mining process would travel a maximum of 1,000 metres — not far enough to affect agriculture or cause any health issues for nearby residents.",no-to-amulsar-gold-mine
,,,illegal-waste-dumps-in-pezinok-slovak-republic
,,,forest-plantation-by-green-resources-in-kachung-uganda
,,,farmers-use-loopholes-to-force-a-law-change-for-seeds-in-the-united-kingdom
,,,hidroelectrica-puebla-1-puebla-mexico
,,,ok-tedi-copper-mine-papua-new-guinea
,,,agips-oil-spill-in-abacheke-community-nigeria
The presence of illegal factories caused the exposure of locals to uncertain and unknown risks until the source of the problem has been discovered.,"Local activists had to secretly film at night the activities of the factories in order to denounce the phenomenon. The presence of these illegal plants could have increased local violence and corruption. Also, the health problems and the strong smell caused by the factories could have produced the abandon of the town by local people. ",The toxic fumes released by the illegal factories were visible and perceptible by the residents of Jenjarom. ,malaysia-plastic-pollution-jenjarom-malasya
https://www.riberaexpress.es/2013/02/22/xuquer-viu-aposta-per-utilitzar-laigua-superficial-del-xuquer-en-lloc-dels-aquifers-contaminats/ ,,"Debate on the minimum ""ecological flow""",xuquer-viu-valencia-spain
Specific impact on children due to their proximity to potentially radioactive material,,,torianita-mining-in-amapa
,students could not study in a peaceful environment and residents could not be relieved in daily life.,earthquakes ,rong-county-suspends-shale-gas-fracking-amid-quake-fears-sichuan-china
,,,zimapan-waste-disposal-hidalgo-mexico
"Infections respiratoires aiguës en forte augmentation, les ouvriers ne sont pas fournis l'équipement nécessaire pour travailler en sécurité",perte de terres arables et de pâturages,,phosphates-matam-senegam
,,,wullar-barrage-tulbul-project-in-kashmir-india
,,,hirakud-dam-orissa-india
,,,master-agua-presa-de-melones-mayari
,Risk of nuclear contamination,Risk of nuclear contamination,belarusia-nuclear-power-plant
,,,sarayacu-oil-extraction-in-block-23-ecuador
,,,ikebiri-community-cries-out-over-impacts-of-chevron-north-apoi-explosion
"While there was no reported visible health impact in the area, the wastewater sample test shows that there are high volumes of hazardous chemicals in the discharged water, which may have health impacts on the local residents and their livestock.",,,greenpeace-revealed-shenhuas-water-intensive-coal-chemical-projects-in-ordos-inner-mongolia
,,,malibya-irrigated-agricultural-scheme-in-segou-mali
,"Las violaciones incluyen la falta de Consentimiento Libre, Previo e Informado obtenido mediante una consulta culturalmente adecuada y de buena fe, ya que estos principios no se cumplieron. Los opositores al proyecto están preocupados por la pérdida de medios de vida, cultura y medios de subsistencia tradicionales. Además, no se reconocen sus reclamos sobre los potenciales efectos en la salud.",Preocupación por la isla de calor que pueden generar la gran concentración de más de un millón de paneles solares ,proyecto-fotovoltaico-ticul-a-y-b-yucatan-mexico
,,,black-angel-mine-greenland
,,,north-american-lithium-mining-project-quebec
,Visible: outflow of low environmental impact investment capital,,ev-battery-recycling-factory-zlotoryja-silesia-poland
,Destruction of neolithic archeological remains,,nuclear-waste-disposal-bure-france
,,Invasive species and increased of hurricanes and tropical storms due to the destruction of wetlands and mangroves,los-micos-beach-and-golf-resort-project-honduras
,,,oil-contamination-in-south-sudan
,,,demeter-international-katondo-farm-project-bwabwata-national-park-in-mbukushu-district-namibia
,,,la-reunion-coastal-road
,,,interoceanica-as-a-driver-of-deforestation-and-land-use-change-in-madre-de-dios-peru
,,,coastal-erosion
,,,logging-in-toledo-district-belize
,,,new-forests-in-uganda
,,,direct-violation-of-forest-rights-act-in-the-mining-belt-of-surguja-district-chhattisgarh
lung problems such a asbestosis and mesothelioma,"La depresión y los desequilibros emocionales que trae consigo portar una enfermedad por asbesto, así como a su entonor familiar y vecinal, es otro impacto.",,cientos-de-enfermos-por-inhalar-asbesto
,,,struggles-against-in-situ-leach-uranium-mining-black-hills-south-dakota-usa
"asphyxiation, sore throats,burn wounds,oil spill contained hazardous waste, which
was inhaled by the community;skin problems [6] 
 [6]",disenfranchisement,,indonesia-against-chevron
,,,enugu-communities-apprehensive-about-planned-resuscitation-of-moribund-coal-mines
,,,chronic-pollution-in-eloor-kerala-india
,,,think-biotech-reforestation-concession
,,,sona-panama
,,,logging-on-indigenous-souy-land-in-kampong-speu-cambodia
,,,agips-oil-pipeline-in-ogunugbene-nigeria
,,,coal-mine-of-baradarha-thermal-power-station-chhattisgarh-india
,,,weir-figueiredo-farmers-and-compensation-brazil
Respiratory Problems/ Lung Cancer,,,fouad-boutros-highway-lebanon
,,,proposed-riau-1-coal-fired-power-plant-shelved-after-corruption-investigation-in-indonesia
,,,hidroelectrica-el-bala-en-el-parque-nacional-madidi-bolivia
,,Toxic spill,talvivaara-mining-company
,,,open-pit-mining-in-ucab-la-cordillera-the-philippines3
"Health effects that have been associated with proximity to roads and highways include asthma onset and aggravation, cardiovascular disease, reduced lung function, impaired lung development in children, pre-term and low-birthweight infants, childhood leukemia, and premature death [10].  Also, the noise can have a real impact on the mental health of individuals living near the highway.","The motorway could have social and economic impacts. For example, it would make it easier for people to get around and be less late. The motorway would use less fuel and therefore lower costs for users. Motorways are less dangerous than roads, which would reduce the number of road accidents. From an economic point of view, the creation of motorways is a costly expense for the state and local authorities. ","The creation of this motorway will lead to increased air pollution. Firstly, their creation, maintenance and repair play a major role in terms of pollution. In addition, the CO2 emissions from the vehicles that will be driving on it, the waste that will be thrown out of the window, will have an impact on the environment. The creation of this motorway will have an impact on biodiversity and natural habitats will be destroyed if the highway is built. The creation of this motorway will lead to a degradation of the landscape, by cutting through forests, plains, or fields. Indeed, some forests will have to be deforested to create the motorway tracks.",the-a45-motorway
,,,shell-nigeria
"Potential Impacts: Cancer (trachea and bronchi, lung, stomach and liver); pulmonary tuberculosis; silicosis; pleural diseases; malaria; dengue fever; hearing loss; increased prevalence of bacterial and viral infections; diseases of the blood, skin and musculoskeletal system; hypertension; disorders in the child’s nervous system; disruption of respiratory function; renal failure; acute and chronic poisoning; gastroenteritis; kidney disease; liver damage; hepatitis; liver cirrhosis; jaundice [1]","Visible impacts on agriculture (farming and  organic farming, livestock, fishing and aquaculture, logging, hunting, forest fruits and aromatic herbs, forestry) and tourism",,gold-mining-in-chalkidiki-greece
Illnesses caused by pollutants emitted by aircraft,,,gautam-buddha-airport
,,,coca-cola-jaipur-india
,"Loss of income, difficulties in access to water, loss of cultural heritage, loss of or damage on historical artifacts",,sultan-marshes-wetland-turkey
,,,mahuva-movement-against-proposed-nirma-cement-plant-india
,,,aeropuerto-internacional-de-la-zona-sur-aizs
Thyroid carcinomas and other types of cancer.  ,No compensation for liability by the Soviet Union was ever considered. A perfect case of (involuntary) cost-shifting.,Direct impact to non-human beings: cattle and wildlife. ,chernobyl-disaster
,"Potential difficulties in access to water, potential damage on cultural heritage",,caldag-nickel-mine-turkey
,,,chinese-companies-grab-indigenous-kuoy-land-cambodia
"Liver, barin, nerve, and skin disorders",,,water-contamination-from-paper-mills-at-penobscot-reservation-usa
,,,gmos-in-catalunya-spain
Respiratory problems; Cancer;,,,phosphate-fertilizer-plant-pollution-in-liuchong-village-hubei-province
"En mayo de 2012 y luego de constatarse que las concentraciones anuales de Material Particulado respirable PM10 estaban sobre los límites establecidos por norma, la localidad de Huasco fue declarada zona latente.
Calificación que revela que la medición de la concentración de contaminantes se sitúa entre el 80% y el 100% de la respectiva norma de calidad ambiental.",,,huasco-petcoke-chile
,,Increased risk of earthquakes,vishnugaad-peepalkoti-hydroelectric-project-uk-india
,,,dobrich-landfill-site-bulgaria
,,,mega-oil-project-dudinka-taymyr-russian-arctic
,[4]Tibet Watch,"Landslides[2];
The death of hundreds of fish is caused by the poisoned water from the water leaching site by mining. The optimum pH level of majority of the aquatic animals lies between pH 6.5 to 9. Any further change in the optimum pH causes strain on animal physiology, reduces hatching and survival rate. Aquatic animals are more sensitive towards acids than alkalis. A change in pH with 0.5 towards acid from pure water (pH 7) causes aquatic animals in an abnormal environment and cannot survive when the pH level is lower than 3. Highly concentrated acids in the local river due to leakage of water leaching site may have altered the level of pH to as low as 3 causing death of fish and damage to the entire local river ecosystem. The water leaching site might contain organic wastes (dead plants and animals) since the mining site was closed for a few years, the organic wastes drained into river water are decomposed by aerobic bacteria. Decomposition of the organic wastes is a major function of aerobic bacteria to provide nutrient to aquatic animals and requires oxygen which in turn cause depletion in oxygen level to other aquatic animals. High concentration of nitrates and phosphate if present in the contaminated water can be a factor lowering dissolved oxygen and causing high mortality rate of fish. [1]",a-sudden-mass-death-of-fish-in-the-lichu-river-in-minyak-lhagang-dartsedo-county-in-karze-prefecture
,,,groundwater-depletion
Respiratory diseases,,,coal-usage-in-egypts-cement-factories
,,,sabetta-port-arctic-russia
,,,exploratory-fracking-in-arquetu-cantabria-spain
,,,central-hidroelectrica-rucalhue-chile
,,,the-wadi-al-hudda-landfill-a-battle-for-environmental-justice-in-tartous
,,,tratto-roma-latina-autostrada-a12
"wide range of health impacts including cancer, chronic diarrhea, eye and ear infections, lung problems, Alzheimer’s disease, respiratory and heart problems, and birth defects","monetary impact of costs associated with legal fees, health fees, and potential relocation",,sydney-tar-ponds-contamination-nova-scotia-canada
,,,sta-cruz-zambales-nickel-mining-impacts-sustainable-agriculture-and-fisheries
,,,sito-di-stoccaggio-di-ecoballe-di-taverna-del-re
,,,noble-group-plans-palm-oil-plantations-in-papua-indonesia
,Numerous indigenous peoples would be affected in the Sierra del Divisor,,opposition-against-controversial-amazon-route-of-transatlantic-railway-brazil-peru
"stroke, lung cancer, heart, respiratory diseases, in adults, as well as respiratory infections and harm to cognitive development in children; premature deaths. ",,,the-turow-coal-mine
Access to potable and safe water for household was getting limited,,,silica-sand-mining
,,,alpha-coal-powered-cement-factory-mandalay-myanmar
,,,quilombolas-land-demarcation-dourados-ms-brazil
,,,reserva-ecologica-de-chaparri-contra-traficantes-de-tierra
,,,lower-season-ii-dam-will-displace-ethnic-minorities-in-stung-treng-cambodia
,,,casas-geo-en-el-cerro-de-la-tortuga
,,,congo-agricultureagrisa-farmland-in-malolo-congo
,,0,alto-parana-en-misiones-argentina
,,,druzhba-adria-oil-pipeline-croatia
"There were concerns that there might be an underground kerosene leak within the affected area[8]_x000D_
Expansion of Douala Airport would increase risk of illnesses caused by pollutants emitted by aircraft",,,forced-eviction-for-expansion-of-douala-airport
,"Decrease in the service of other train types, more affordable for less affluent sectors of the population. 
Housing expropriation and demolition.",,lgv-limoges-poitiers-high-speed-rail
,,,taean-national-park-oil-spill-south-korea
,,Sedimentation and eutrophication on the sea due to cumulative impacts of inputs in open cage fish farms,tuna-fattening-farms-in-sigacik-bay-turkey
,,,tourism-and-indigenous-rights-in-hawaii-usa
,,,koskulana-mini-hydro-power-station
Specific impacts on children's health ,,,anti-coal-movement-ghana
,"massive rise in land prices, related speculation and squeezing out of farmers and villagers from the area [e].",,dawei-sez-tanintharyi-region-myanmar
,,,new-forests-company-and-plantation-uganda
Intimidaciones mediante la  toma de fotografías durante las  manifestantes ,El Río Patuca es utilizado como medio de transporte y la disminución del caudal afectará esta tradición. ,"Emisión de gas metano, en la cuenca del río Patuca existen 14 áreas protegidas que se verán afectadas",hydroelectric-project-patuca-iii-piedras-amarillas-honduras
,,,big-sandy-lithium-project-usa
,,,legal-recognition-of-creole-seeds-won-in-brazil
,,"Carlos Anwandter Nature Sanctuary, RAMSAR Site",cellulose-factory-celulosa-aurauco-sa-valdivia-chile
,,,contaminacion-biologica-con-cianotoxinas-en-lago-la-encantada-zacatecas-mexico
,,,malecon-tajamar-cancun-destruye-manglar-en-quintana-roo-mexico
,,Seismic exploration on 250 000 hectares.,yasuni-national-park-itt-oil-extraction-ecuador
,,,nicinha-a-victim-of-the-jirau-dam-porto-velho-brazil
,Discriminación de pobladores indígenas que trabajan en la mina. ,,pirquitas-amenaza-aguas-de-jujuy-argentina
"Los indígenas warao son un pueblo de agua, por lo que la contaminación de las mismas genera grandes impactos en sus vidas. La importante degradación acuática en el Delta ha producido en éstos varias enfermedades, lo cual ha venido creciendo en los últimos años. Diarreas es uno de los efectos más comunes, afectando severamente a niños y pudiendo causarles la muerte. Se cuenta también altos niveles de diabetes, glicemia en población infantil y tuberculosis. Según una investigación de la Fundación La Salle del año 2001, el 95% de la población warao padece desnutrición y parasitosis. 
El cacique de la comunidad indígena de Bonoina ha denunciado un aumento de la muerte de waraos por “extrañas enfermedades”. Esto se ha vinculado con la contaminación de las aguas y los peces por mercurio y otros componentes tóxicos. También, diversos estudios han mostrado una dramática realidad: un muy acelerado aumento de infecciones de VIH en la población warao, los cuales han estado muriendo con rapidez. Según los especialistas que realizaron la investigación, 9,55% de los habitantes de ocho comunidades estudiadas habían contraído el virus. La más alta prevalencia en el mundo está en el África subsahariana, con 5% de su población. En 2015, la periodista Minerva Vitti indicaba que hay presencia del virus VIH en 26 comunidades. Alejandro Lanz, del Centro de Investigaciones Ecológicas de Venezuela, presume que el origen de estos contagios sea el flujo migratorio de waraos que ha existido hacia el vertedero de Cambalache en Ciudad Guayana, donde los indígenas realizan recolección de basura en condiciones sanitarias y sociales muy comprometidas.","La situación de contaminación ha mermado notablemente sus medios de vida, fundamentalmente sus aguas y peces. Se genera por tanto altos niveles de dependencia que obliga a los indígenas a migrar a otros lugares fuera de los caños y dedicarse a otras actividades económicas que no hacen parte de sus tradiciones. Existe dependencia de potabilizadoras de agua, y cuando existe ausencia de las mismas, los indígenas se ven obligados a beber el agua contaminada.
La migración warao a las ciudades ha crecido notablemente en los últimos años, lo que ha supuesto que estos indígenas se incorporen a la mendicidad, en condiciones deplorables de vida, con altos niveles de discriminación y ubicados en los barrios periféricos de estos centros urbanos.","Permanentemente las aguas del Orinoco, y por ende el Delta, han sido contaminadas por los desechos industriales provenientes de las empresas básicas de Guayana, ubicadas en Ciudad Guayana. Entre estos agentes contaminantes, se cuentan los muy perniciosos lodos rojos que resultan de la producción de alúmina a partir de la bauxita, los cuales van colándose desde sus depósitos a orilla del Orinoco.
También ha sido señalada la contaminación de las aguas del bajo delta con mercurio y plomo. Esto a su vez ha contaminado peces y otras especies. Las aguas también han sido contaminadas por las explotaciones petroleras, tanto en las afueras como en el propio Delta.",indigenas-warao-en-el-bajo-delta-del-orinoco-contaminados-por-desechos-de-la-corporacion-venezolana-de-guayana-y-de-la-mineria-ilegal
,,,desalination-plant-mamelles-beach-in-dakar-senegal
,,,uranium-mining-in-jadugoda-jharkhand-india
,,,natural-resource-exploitation-in-the-dead-sea-area
,,,illegal-logging-and-land-grabbing-ti-uru-eu-wau-wau-rondonia-brazil
